LSOA code,LSOA name,Local authority name,Median House Price Quartile,Total Crime Quartile,Violence Against The Person Quartile,Total IMD Quartile,Transport Quartile
E01000841,Bromley 030H,Bromley,Q3 (520000.00 to 683000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q1 (0.19 to 5.47)
E01000842,Camden 011A,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000843,Camden 014A,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000844,Camden 011B,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000845,Camden 014B,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000846,Camden 014C,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000847,Camden 014D,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000848,Camden 011C,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000849,Camden 011D,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000850,Camden 026A,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000851,Camden 026B,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000852,Camden 026C,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000853,Camden 025A,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000854,Camden 026D,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000855,Camden 028A,Camden,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000856,Camden 019A,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000857,Camden 018A,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000858,Camden 018B,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000859,Camden 018C,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000860,Camden 018D,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000861,Camden 019B,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000862,Camden 018E,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000863,Camden 021A,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000864,Camden 015A,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000865,Camden 015B,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000866,Camden 009A,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000867,Camden 015C,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000868,Camden 015D,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000869,Camden 015E,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000870,Camden 009B,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000871,Camden 005A,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000872,Camden 005B,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000873,Camden 005C,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000874,Camden 005D,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000875,Camden 013A,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000876,Camden 013B,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000877,Camden 005E,Camden,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000878,Camden 004A,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000879,Camden 004B,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000880,Camden 004C,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000881,Camden 008A,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000882,Camden 008B,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000883,Camden 008C,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000884,Camden 004D,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000885,Camden 004E,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000886,Camden 006A,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000887,Camden 006B,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000888,Camden 006C,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000889,Camden 007A,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000891,Camden 007C,Camden,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000892,Camden 006D,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000893,Camden 002A,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q1 (0.19 to 5.47)
E01000894,Camden 002B,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000895,Camden 002C,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000896,Camden 002D,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000897,Camden 008D,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000898,Camden 008E,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000899,Camden 002E,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q1 (0.19 to 5.47)
E01000900,Camden 012A,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000901,Camden 007D,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000902,Camden 012B,Camden,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000903,Camden 006E,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000904,Camden 012C,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000905,Camden 012D,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000906,Camden 012E,Camden,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000907,Camden 001A,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000908,Camden 001B,Camden,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000909,Camden 001C,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000910,Camden 003A,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000911,Camden 003B,Camden,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000912,Camden 001D,Camden,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000913,Camden 001E,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q1 (2.33 to 12.31),Q1 (0.19 to 5.47)
E01000914,Camden 028B,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000915,Camden 027A,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000916,Camden 027B,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000917,Camden 027C,Camden,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000918,Camden 028C,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000919,Camden 028D,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000920,Camden 027D,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000921,Camden 003C,Camden,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000922,Camden 007E,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000923,Camden 003D,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000924,Camden 009C,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000925,Camden 009D,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000926,Camden 009E,Camden,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000927,Camden 007F,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000928,Camden 003E,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000929,Camden 020A,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000930,Camden 020B,Camden,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000931,Camden 013C,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000932,Camden 013D,Camden,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000933,Camden 020C,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000934,Camden 020D,Camden,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000935,Camden 020E,Camden,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000936,Camden 024A,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000937,Camden 025B,Camden,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000942,Camden 025D,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000943,Camden 025E,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000945,Camden 023B,Camden,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000946,Camden 021B,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000947,Camden 021C,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000948,Camden 021D,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000949,Camden 023C,Camden,Q2 (420000.00 to 520000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000951,Camden 023E,Camden,Q1 (147500.00 to 420000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000952,Camden 022A,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000953,Camden 022B,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000956,Camden 022E,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000957,Camden 019C,Camden,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q1 (0.00 to 24.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000958,Camden 019D,Camden,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000959,Camden 019E,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000960,Camden 017A,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000961,Camden 017B,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000962,Camden 016A,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000963,Camden 017C,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000964,Camden 016B,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000965,Camden 016C,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000966,Camden 016D,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000967,Camden 017D,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000968,Camden 016E,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000969,Camden 010A,Camden,Q4 (683000.00 to 6425000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000970,Camden 010B,Camden,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q4 (16.97 to 121.89)
E01000971,Camden 010C,Camden,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000972,Camden 010D,Camden,Q4 (683000.00 to 6425000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000973,Camden 010E,Camden,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000974,Camden 013E,Camden,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000975,Croydon 022A,Croydon,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000976,Croydon 022B,Croydon,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000977,Croydon 022C,Croydon,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000978,Croydon 022D,Croydon,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000979,Croydon 022E,Croydon,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000980,Croydon 017A,Croydon,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000981,Croydon 017B,Croydon,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000982,Croydon 017C,Croydon,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000983,Croydon 017D,Croydon,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000984,Croydon 022F,Croydon,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000985,Croydon 021A,Croydon,Q3 (520000.00 to 683000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000986,Croydon 021B,Croydon,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000987,Croydon 021C,Croydon,Q3 (520000.00 to 683000.00),Q1 (2.00 to 79.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000989,Croydon 018A,Croydon,Q2 (420000.00 to 520000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q1 (0.19 to 5.47)
E01000990,Croydon 045A,Croydon,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000991,Croydon 018B,Croydon,Q3 (520000.00 to 683000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q1 (0.19 to 5.47)
E01000992,Croydon 014A,Croydon,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000993,Croydon 021D,Croydon,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000994,Croydon 009A,Croydon,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000995,Croydon 009B,Croydon,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000996,Croydon 009C,Croydon,Q2 (420000.00 to 520000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
